"","CPG","WEIGHT","P","gene","TRAIT"
"1","cg05575921",-0.066,1.35e-206,"AHRR","mSmoking"
"4","cg12803068",0.07,5.57e-128,"MYO1G","mSmoking"
"6","cg04180046",0.05,1.99e-123,"MYO1G","mSmoking"
"8","cg09935388",-0.102,2.29e-119,"GFI1","mSmoking"
"9","cg25949550",-0.013,1.27e-115,"CNTNAP2","mSmoking"
"11","cg12876356",-0.096,9.28e-108,"GFI1","mSmoking"
"13","cg14179389",-0.07,2.78e-107,"GFI1","mSmoking"
"15","cg22132788",0.023,2.07e-100,"MYO1G","mSmoking"
"16","cg18146737",-0.094,2.58e-100,"GFI1","mSmoking"
"22","cg09662411",-0.055,4.96e-85,"GFI1","mSmoking"
"24","cg19089201",0.018,2.4e-78,"MYO1G","mSmoking"
"27","cg18316974",-0.052,8.76e-74,"GFI1","mSmoking"
"34","cg23067299",0.03,6.36e-63,"AHRR","mSmoking"
"35","cg22549041",0.066,4.51e-62,"CYP1A1","mSmoking"
"38","cg21161138",-0.021,6.61e-59,"AHRR","mSmoking"
"39","cg22937882",0.013,1.58e-57,"AHRR;LOC100310782","mSmoking"
"40","cg07339236",-0.013,5.65e-57,"ATP9A","mSmoking"
"42","cg06338710",-0.037,5.54e-56,"GFI1","mSmoking"
"46","cg18092474",0.051,1.35e-51,"CYP1A1","mSmoking"
"47","cg05549655",0.019,2.21e-51,"CYP1A1","mSmoking"
"48","cg12101586",0.046,4.02e-51,"CYP1A1","mSmoking"
"54","cg11924019",0.025,1.1e-48,"CYP1A1","mSmoking"
"57","cg10399789",-0.027,1e-47,"GFI1","mSmoking"
"60","cg08606254",0.024,5.27e-46,"AHRR","mSmoking"
"63","cg13570656",0.047,4.52e-41,"CYP1A1","mSmoking"
"67","cg11813497",0.027,2.03e-40,"FRMD4A","mSmoking"
"68","cg26516004",0.013,5.1e-39,"CYP1A1","mSmoking"
"71","cg11429111",0.03,2.44e-37,"-","mSmoking"
"74","cg11902777",-0.006,1.02e-36,"AHRR","mSmoking"
"77","cg25464840",0.021,1.11e-35,"FRMD4A","mSmoking"
"81","cg25189904",-0.024,5.88e-34,"GNG12","mSmoking"
"85","cg15507334",0.02,5.54e-33,"FRMD4A","mSmoking"
"86","cg01952185",0.03,1.08e-32,"-","mSmoking"
"88","cg18703066",-0.008,1.18e-32,"-","mSmoking"
"90","cg18096987",-0.016,3.28e-31,"VGLL4","mSmoking"
"97","cg21611682",-0.014,1.24e-28,"LRP5","mSmoking"
"99","cg26764244",-0.017,1.63e-28,"GNG12","mSmoking"
"102","cg03991871",-0.015,1.19e-27,"AHRR","mSmoking"
"103","cg26681628",0.02,1.55e-27,"-","mSmoking"
"104","cg14817490",-0.017,3.02e-27,"AHRR","mSmoking"
"110","cg26889659",-0.043,3.08e-26,"EXOC2","mSmoking"
"111","cg23916896",-0.012,4.31e-26,"AHRR","mSmoking"
"113","cg01359532",0.015,1.48e-25,"CYP1A2","mSmoking"
